FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
H,0.11842105263157894,0.21621621621621623,0.11842105263157894,0.21621621621621623,0.8181818181818182,0.9090909090909091,L,L,D,L,W,L,D,D,W,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.09090909090909091,-0.18181818181818182,-1.0
NH,0.25,0.16216216216216217,0.25,0.16216216216216217,1.1818181818181819,1.1818181818181819,W,L,L,W,L,W,D,W,W,D,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.45454545454545453,12.0
H,0.15789473684210525,0.13513513513513514,0.15789473684210525,0.13513513513513514,1.0909090909090908,1.3636363636363635,L,D,W,D,D,L,D,W,W,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.2727272727272727,-0.09090909090909091,9.0
NH,0.15789473684210525,0.08108108108108109,0.15789473684210525,0.08108108108108109,1.0909090909090908,1.0909090909090908,W,L,L,D,D,D,L,D,L,W,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0
H,0.2236842105263158,0.17567567567567569,0.2236842105263158,0.17567567567567569,1.8181818181818181,0.8181818181818182,W,W,D,D,D,W,L,D,L,L,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.45454545454545453,-16.0
H,0.10526315789473684,0.16216216216216217,0.10526315789473684,0.16216216216216217,1.0909090909090908,0.9090909090909091,L,W,D,D,D,L,L,L,W,W,0,0,0,0,0,0,0,0,0.0,0.0,0.18181818181818182,0.0,-3.0
NH,0.2631578947368421,0.28378378378378377,0.2631578947368421,0.28378378378378377,1.8181818181818181,1.2727272727272727,W,W,W,L,L,W,W,D,L,L,0,0,0,0,0,0,0,0,0.0,0.0,0.5454545454545454,0.18181818181818182,-8.0
H,0.17105263157894737,0.21621621621621623,0.17105263157894737,0.21621621621621623,1.0909090909090908,2.272727272727273,W,W,L,L,D,W,W,D,W,L,0,0,0,0,0,0,0,0,0.0,0.0,-1.1818181818181819,-0.2727272727272727,4.0
NH,0.15789473684210525,0.16216216216216217,0.15789473684210525,0.16216216216216217,1.3636363636363635,1.5454545454545454,L,W,D,D,W,L,L,W,W,W,0,0,0,0,1,0,0,0,0.0,0.0,-0.18181818181818182,-0.09090909090909091,8.0
H,0.19736842105263158,0.12162162162162163,0.19736842105263158,0.12162162162162163,0.8333333333333334,1.0,L,L,L,L,W,D,D,W,L,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-5.0
NH,0.14473684210526316,0.13513513513513514,0.14473684210526316,0.13513513513513514,1.25,1.25,L,L,D,W,W,W,L,W,D,D,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.08333333333333333,-5.0
H,0.11842105263157894,0.28378378378378377,0.11842105263157894,0.28378378378378377,1.0833333333333333,1.1666666666666667,D,D,L,D,L,D,W,L,L,W,0,0,0,0,0,0,0,0,0.0,0.0,-0.08333333333333333,-0.3333333333333333,-10.0
H,0.2236842105263158,0.17567567567567569,0.2236842105263158,0.17567567567567569,2.0833333333333335,1.0833333333333333,L,W,W,D,W,D,W,L,L,D,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.4166666666666667,-6.0
NH,0.17105263157894737,0.21621621621621623,0.17105263157894737,0.21621621621621623,1.1666666666666667,1.25,D,W,D,W,W,W,L,D,W,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.08333333333333333,0.25,-7.0
NH,0.15789473684210525,0.25675675675675674,0.15789473684210525,0.25675675675675674,1.6666666666666667,1.9166666666666667,W,L,L,W,W,W,W,W,D,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.25,-0.16666666666666666,2.0
NH,0.2894736842105263,0.14864864864864866,0.2894736842105263,0.14864864864864866,1.4166666666666667,1.0,W,W,W,D,L,W,L,L,D,L,0,0,0,0,0,0,0,0,0.0,0.0,0.4166666666666667,0.5,-3.0
NH,0.21052631578947367,0.16216216216216217,0.21052631578947367,0.16216216216216217,0.5833333333333334,1.25,D,L,L,D,D,L,L,W,D,D,0,0,0,0,0,0,0,0,0.0,0.0,-0.6666666666666666,-0.16666666666666666,9.0
NH,0.2236842105263158,0.20270270270270271,0.2236842105263158,0.20270270270270271,0.8333333333333334,1.25,L,L,D,D,W,W,W,W,L,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.4166666666666667,-0.3333333333333333,10.0
NH,0.17105263157894737,0.2702702702702703,0.17105263157894737,0.2702702702702703,0.75,1.6666666666666667,L,W,L,D,L,L,W,W,W,L,0,0,0,0,0,0,0,0,0.0,0.0,-0.9166666666666666,-0.4166666666666667,13.0
